Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,216.899994,234.250000,207.550003,232.000000,164.185471,3400
2013-02-01,232.000000,232.000000,199.399994,207.020004,146.507233,6700
2013-03-01,200.949997,211.699997,187.800003,192.300003,136.089951,3500
2013-04-01,189.649994,193.350006,170.809998,193.350006,136.833038,2500
2013-05-01,194.869995,216.300003,190.600006,213.600006,151.163879,1600
2013-06-01,213.600006,213.600006,187.000000,195.000000,138.000732,3000
2013-07-01,196.000000,225.750000,191.300003,225.750000,159.762375,2100
2013-08-01,225.750000,240.000000,223.800003,223.800003,158.382370,1800
2013-09-01,221.350006,237.550003,220.839996,227.100006,160.717758,2600
2013-10-01,229.000000,245.220001,219.649994,245.220001,173.541229,37700
2013-11-01,246.100006,259.720001,243.600006,259.720001,183.802811,2300
2013-12-01,258.739990,273.500000,249.050003,272.329987,192.726837,3300
2014-01-01,266.500000,269.100006,242.800003,244.500000,173.031677,4100
2014-02-01,241.350006,270.049988,236.899994,257.510010,182.238815,2300
2014-03-01,245.039993,255.490005,240.000000,255.490005,180.809250,1800
2014-04-01,255.199997,270.890015,254.050003,268.399994,189.945602,2100
2014-05-01,265.899994,268.100006,253.660004,262.350006,185.664063,900
2014-06-01,266.149994,266.149994,255.699997,258.100006,186.652618,5200
2014-07-01,259.700012,261.149994,232.600006,232.600006,168.211548,3600
2014-08-01,227.729996,230.850006,219.009995,224.600006,162.426117,5000
2014-09-01,226.850006,233.910004,204.949997,208.149994,150.529800,12200
2014-10-01,202.550003,213.449997,188.850006,213.050003,154.073395,5300
2014-11-01,214.000000,225.449997,208.399994,223.949997,161.956055,1300
2014-12-01,228.250000,229.199997,213.970001,216.389999,156.488800,6900
2015-01-01,215.000000,229.850006,206.899994,225.289993,162.925095,4500
2015-02-01,227.100006,253.389999,227.100006,240.000000,173.563080,41800
2015-03-01,250.600006,263.950012,243.250000,259.549988,187.701218,2400
2015-04-01,256.000000,264.049988,242.800003,255.199997,184.555374,2300
2015-05-01,255.199997,258.809998,240.000000,240.000000,173.563080,1400
2015-06-01,240.300003,245.600006,230.100006,234.850006,173.497421,2300
2015-07-01,235.199997,236.800003,201.100006,201.100006,148.564316,2600
2015-08-01,204.750000,211.100006,179.000000,185.000000,136.670303,18700
2015-09-01,184.300003,189.500000,116.050003,120.220001,88.813530,232000
2015-10-01,119.680000,153.360001,113.000000,140.000000,103.426178,206500
2015-11-01,140.000000,150.300003,123.389999,149.500000,110.444366,76100
2015-12-01,153.690002,160.000000,141.419998,157.550003,116.391388,101700
2016-01-01,150.000000,151.490005,125.000000,131.800003,97.368355,89000
2016-02-01,130.100006,141.539993,121.750000,137.570007,101.631004,39600
2016-03-01,140.820007,153.770004,139.229996,143.050003,105.679398,30500
2016-04-01,139.649994,162.300003,133.559998,159.050003,117.499519,34000
2016-05-01,156.699997,160.130005,145.800003,155.949997,115.209358,14500
2016-06-01,154.300003,158.800003,129.800003,135.899994,100.397270,32300
2016-07-01,138.300003,151.009995,128.500000,146.300003,108.170982,24900
2016-08-01,146.050003,150.869995,139.910004,144.160004,106.588730,21100
2016-09-01,146.009995,150.449997,137.500000,144.000000,106.470421,13400
2016-10-01,142.589996,149.000000,141.100006,149.000000,110.167313,30300
2016-11-01,149.100006,150.000000,135.000000,137.000000,101.294762,13200
