Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,163.000000,179.809998,162.720001,175.100006,165.207870,26400
2023-02-01,177.500000,185.000000,171.000000,178.500000,168.415771,22700
2023-03-01,179.500000,196.250000,157.000000,171.179993,161.509308,29900
2023-04-01,171.500000,175.130005,158.399994,168.000000,158.508972,20300
2023-05-01,162.449997,174.000000,148.000000,150.399994,141.903259,21600
2023-06-01,151.940002,175.000000,151.940002,168.630005,168.630005,16100
2023-07-01,163.500000,174.750000,156.339996,160.389999,160.389999,28600
2023-08-01,155.750000,160.449997,137.250000,144.479996,144.479996,29200
2023-09-01,135.000000,142.250000,125.820000,132.179993,132.179993,21900
2023-10-01,129.500000,133.220001,110.320000,111.000000,111.000000,26900
2023-11-01,112.779999,136.250000,112.500000,130.910004,130.910004,35500
2023-12-01,124.500000,137.660004,124.500000,128.610001,128.610001,33200
